,outer_homa_avg,outer_homa_ci,inner_homa_avg,inner_homa_ci,total_out_of_plane_avg,total_out_of_plane_ci,abs_ruffling_avg,abs_ruffling_ci,abs_saddling_avg,abs_saddling_ci,abs_doming_avg,abs_doming_ci
meso1,0.024628897481661687,0.004775001744383481,0.03947181988503778,0.010407974703471504,0.1589542797481372,0.15863979193042038,0.04056027058256143,0.005346271094857072,0.12600690787245633,0.07434707655393086,0.04029781560138086,0.013985790625654618
beta1,0.0839123139314415,0.07548978282858246,0.07307750103610537,0.015045655845088962,0.03172701340751237,0.0032413433852538204,0.05617103903524917,0.005956819055387132,0.035666626034612216,0.011082506911618547,0.051445959059776857,0.0058369253027682816
beta2,0.021569967759514436,0.0022644708826343447,0.04196413762008529,0.005077629868275566,0.0230443619500274,0.0051884885662708225,0.04284398093807229,0.007168811294621588,0.021911122113609065,0.003839567493776185,0.029451174423982995,0.00821864810948154
meso2,0.02375958129249592,0.00648152799018739,0.04128390325910503,0.006684867706448028,0.16171060257273023,0.052716807113587776,0.04040491620715591,0.009176632334595832,0.24845231784925054,0.07456254144191626,0.03245976026888741,0.007248100065937029
beta3,0.11592268796892553,0.04824732003194379,0.08119910199405675,0.012652390918519801,0.03691084001433777,0.00612964802996579,0.04727464191239789,0.00931000557428551,0.05244176567936687,0.00859879142401392,0.06090833975586559,0.014430568011380646
beta4,0.026176477163414303,0.005070805012106898,0.0557861633805112,0.017717874236260176,0.023900978047887666,0.005325314455101785,0.04225777674840583,0.009452821253424072,0.022044866980857888,0.0023441370570642514,0.030784856141579643,0.004937832350536848
meso3,0.02308779021491019,0.006980659810434117,0.04062386676662286,0.00447520184757753,0.10309285392364524,0.13731495381452383,0.044687659143587445,0.008353978962210186,0.12426045995928395,0.10785364317740112,0.042100264105317864,0.009670176565544869
beta5,0.09514654873267639,0.049911675988076935,0.0872799629753549,0.02034008476161735,0.038714190312196584,0.010942377776475845,0.05256199593089389,0.018336087857630495,0.04317052685415636,0.01829136335932044,0.06939036302679813,0.02015590664156237
beta6,0.025259955465357177,0.008385618373953112,0.04734741993353645,0.01624978117674985,0.02996505924306737,0.012979671677565308,0.042114950124576805,0.006918608688569655,0.024235188775456933,0.003873077450070105,0.029551778499662805,0.007473995399793795
meso4,0.02397076119440749,0.003773616156138559,0.04075132925310935,0.009333733430223198,0.1630844742174391,0.11213770989222795,0.042572192633278626,0.004472289158933596,0.1571685790696679,0.08943804805509004,0.03642308663601608,0.006816207673109697
beta7,0.131907899952521,0.09417369531033509,0.08015831692068771,0.018013863561476856,0.03403306813661099,0.010455203393599016,0.05353298131428628,0.008227406437432474,0.04753622297479297,0.020044466781169515,0.06598110250838747,0.018977656126317917
beta8,0.02886492317484506,0.012454771747893058,0.06591480641982816,0.031461687389555903,0.03221446102322625,0.0091092780562021,0.05610598756849596,0.020163699775182033,0.02678416536092406,0.006905978914771952,0.03141728909250765,0.01190928632711812
axial1,0.16557746759086245,0.05518786117015568,0.14358307558481115,0.037160313194948384,0.042592610371430015,0.0038590840823712115,0.14368135125720433,0.006462288618023595,0.02002451832815657,0.0033585845877459474,0.17031178513179066,0.0691761501741602
axial2,0.14994459647103092,0.04971037411062779,0.12784266725225976,0.04771478514656032,0.04343306615663979,0.0041587432480323415,0.1546331185112843,0.00789508408587732,0.019928109415902992,0.003595933207057032,0.18109774543228316,0.04012585081442693
metal_radius,0.06027013160593599,0.006261743895099684,0.033715927718888226,0.007590257912313531,0.07662214087511196,0.0038595955321561594,0.14059713809254978,0.009002157306972161,0.030368622731505368,0.0044017249744542864,0.12837868031576286,0.01739146904898362
