,mode,inner_circuit slope,inner_circuit r2,outer_circuit slope,outer_circuit r2,pyrrole slope,pyrrole r2
0,doming,-0.0394013939924525,0.017917635271469872,0.005111568577997925,6.0485049216135305e-05,0.020186306540620237,0.0013590259031292565
1,saddling,-0.00660583857112846,0.010106159662257355,-0.040843255410627395,0.07749132374110619,-0.040905918683676955,0.11198478806033439
2,ruffling,-0.0008952446829024391,7.71913482978135e-05,0.005093233023872424,0.0005011345620226075,-0.008981681581130288,0.0022452097722430093
3,wavingx,0.07797997472468483,0.008398652246516728,0.00647265423021487,1.1606208587014943e-05,-0.014743149432264088,8.675218915954775e-05
4,wavingy,-0.01754261890863768,0.00037598983714481465,-0.23779679201348164,0.013857387722383038,-0.20405273155161258,0.014700380053630306
5,propellering,-0.6038385285750143,0.023313181681230585,-1.1887858439436798,0.01812380140497845,-0.8555617221269413,0.01352443368023563
6,doming2,-0.08639108759042952,0.026089195610366604,-0.2527193866990159,0.044779790888613634,-0.21967879548077573,0.04874786191269921
7,saddling2,-0.06554393356802879,0.018058506045444237,-0.3672270197081502,0.11370202747476482,-0.28693253513452815,0.10000757472112583
8,ruffling2,-0.07144698339994388,0.0029498452598608277,-0.3274379470649052,0.012427151576622402,-0.2983457320146084,0.014863722499475486
9,wavingx2,0.14760663990598766,0.009854732373809856,0.0185941739376285,3.136670950902821e-05,0.1436252979368395,0.002696195753632621
10,propellering2,-0.3447599506189959,0.003909924540444443,-1.6221792633857752,0.017362592967504073,-1.2559528150156516,0.01499470383641989
